frame,time,score
1,0.03333333333333333,56.52179
2,0.06666666666666667,60.26056
3,0.1,58.60089
4,0.13333333333333333,59.32794
5,0.16666666666666666,58.471497
6,0.2,58.063293
7,0.23333333333333334,56.91632
8,0.26666666666666666,60.15265
9,0.3,60.892883
10,0.3333333333333333,62.34259
11,0.36666666666666664,62.339172
12,0.4,62.266907
13,0.43333333333333335,62.023743
14,0.4666666666666667,62.026184
15,0.5,55.43878
16,0.5333333333333333,54.72638
17,0.5666666666666667,62.332825
18,0.6,65.31964
19,0.6333333333333333,69.32745
20,0.6666666666666666,68.634094
21,0.7,73.73224
22,0.7333333333333333,73.48273
23,0.7666666666666667,75.10187
24,0.8,72.89581
25,0.8333333333333334,71.258606
26,0.8666666666666667,62.47296
27,0.9,60.729797
28,0.9333333333333333,60.162415
29,0.9666666666666667,59.062317
30,1.0,57.628235
31,1.0333333333333334,61.594055
32,1.0666666666666667,57.57257
33,1.1,56.89923
34,1.1333333333333333,57.0838
35,1.1666666666666667,56.721985
36,1.2,56.670715
37,1.2333333333333334,56.64142
38,1.2666666666666666,55.976868
39,1.3,56.323547
40,1.3333333333333333,59.697083
41,1.3666666666666667,57.84015
42,1.4,58.43927
43,1.4333333333333333,61.878235
44,1.4666666666666666,59.88507
45,1.5,62.261536
46,1.5333333333333334,56.346985
47,1.5666666666666667,55.83673
48,1.6,50.64044
49,1.6333333333333333,48.022278
50,1.6666666666666667,45.647278
51,1.7,48.431458
52,1.7333333333333334,51.980774
53,1.7666666666666666,52.28009
54,1.8,54.8172
55,1.8333333333333333,55.576965
56,1.8666666666666667,54.278137
57,1.9,56.391907
58,1.9333333333333333,55.301575
59,1.9666666666666666,65.06525
60,2.0,69.094055
61,2.033333333333333,80.744446
62,2.066666666666667,83.43146
63,2.1,79.057434
64,2.1333333333333333,70.937805
65,2.1666666666666665,66.287415
66,2.2,64.81085
67,2.2333333333333334,64.65851
68,2.2666666666666666,65.09015
69,2.3,60.560852
70,2.3333333333333335,59.10968
71,2.3666666666666667,57.471497
72,2.4,58.04669
73,2.433333333333333,57.14093
74,2.466666666666667,55.712708
75,2.5,55.133606
76,2.533333333333333,54.190735
77,2.566666666666667,57.0506
78,2.6,58.11798
79,2.6333333333333333,60.51544
80,2.6666666666666665,61.03888
81,2.7,60.763
82,2.7333333333333334,62.324036
83,2.7666666666666666,61.65851
84,2.8,62.6839
85,2.8333333333333335,63.75714
86,2.8666666666666667,63.918274
87,2.9,64.082825
88,2.933333333333333,65.259094
89,2.966666666666667,62.138
90,3.0,61.95294
91,3.033333333333333,60.23712
92,3.066666666666667,61.108215
93,3.1,60.605286
94,3.1333333333333333,59.74347
95,3.1666666666666665,60.05597
96,3.2,63.48712
97,3.2333333333333334,64.559875
98,3.2666666666666666,69.85626
99,3.3,69.71564
100,3.3333333333333335,69.869934
101,3.3666666666666667,62.335266
102,3.4,61.45587
103,3.433333333333333,59.670227
104,3.466666666666667,59.567688
105,3.5,59.55548
106,3.533333333333333,56.61212
107,3.566666666666667,54.766907
108,3.6,54.977844
109,3.6333333333333333,54.70392
110,3.6666666666666665,78.65753
111,3.7,67.35431
112,3.7333333333333334,78.11603
113,3.7666666666666666,65.681946
114,3.8,65.63165
115,3.8333333333333335,66.36847
116,3.8666666666666667,70.57843
117,3.9,70.10675
118,3.933333333333333,72.417786
119,3.966666666666667,70.44269
120,4.0,72.87775
121,4.033333333333333,74.818665
122,4.066666666666666,81.42413
123,4.1,72.869934
124,4.133333333333334,71.210266
125,4.166666666666667,67.04132
126,4.2,62.009094
127,4.233333333333333,62.770325
128,4.266666666666667,61.866516
129,4.3,58.96466
130,4.333333333333333,59.423645
131,4.366666666666666,52.695618
132,4.4,52.04669
133,4.433333333333334,50.085754
134,4.466666666666667,49.796204
135,4.5,49.276184
136,4.533333333333333,49.49005
137,4.566666666666666,52.13214
138,4.6,53.26544
139,4.633333333333334,53.051086
140,4.666666666666667,55.3338
141,4.7,56.460754
142,4.733333333333333,58.105774
143,4.766666666666667,59.096985
144,4.8,61.832825
145,4.833333333333333,60.71173
146,4.866666666666666,62.779602
147,4.9,65.12482
148,4.933333333333334,63.781067
149,4.966666666666667,64.93829
150,5.0,62.15802
151,5.033333333333333,57.460754
152,5.066666666666666,54.21466
153,5.1,52.71808
154,5.133333333333334,57.736633
155,5.166666666666667,50.73468
156,5.2,53.70685
157,5.233333333333333,62.23517
158,5.266666666666667,66.401184
159,5.3,68.451965
160,5.333333333333333,67.67755
161,5.366666666666666,63.810364
162,5.4,63.642395
163,5.433333333333334,61.354797
164,5.466666666666667,61.264465
165,5.5,59.78009
166,5.533333333333333,60.355286
167,5.566666666666666,59.947083
168,5.6,61.685852
169,5.633333333333334,60.699036
170,5.666666666666667,62.603333
171,5.7,63.302063
172,5.733333333333333,64.80841
173,5.766666666666667,62.9588
174,5.8,65.276184
175,5.833333333333333,63.10138
176,5.866666666666666,61.758606
177,5.9,60.875793
178,5.933333333333334,60.556458
179,5.966666666666667,58.813293
180,6.0,58.636047
181,6.033333333333333,57.418274
182,6.066666666666666,57.66681
183,6.1,56.676575
184,6.133333333333334,58.839172
185,6.166666666666667,59.82892
186,6.2,60.321106
187,6.233333333333333,59.008118
188,6.266666666666667,60.303528
189,6.3,59.367004
190,6.333333333333333,60.29425
191,6.366666666666666,58.562805
192,6.4,57.463684
193,6.433333333333334,54.28302
194,6.466666666666667,55.076965
195,6.5,53.50177
196,6.533333333333333,53.77716
197,6.566666666666666,54.07794
198,6.6,58.45636
199,6.633333333333334,58.514954
200,6.666666666666667,62.23761
201,6.7,55.429993
202,6.733333333333333,55.602356
203,6.766666666666667,54.262512
204,6.8,56.34503
205,6.833333333333333,63.82306
206,6.866666666666666,66.41046
207,6.9,66.53302
208,6.933333333333334,66.068665
209,6.966666666666667,64.35382
210,7.0,63.287903
